,Loan_Amount,Loan_Tenure_Year,Years_to_Financial_Freedom,Number_of_Credit_Card_Facility,Number_of_Properties,Number_of_Bank_Products,Years_for_Property_to_Completion,Number_of_Side_Income,Monthly_Salary,Total_Sum_of_Loan,Total_Income_for_Join_Application,Unnamed: 0,Credit_Card_Exceed_Months,Employment_Type,More_Than_One_Products,Credit_Card_types,Number_of_Dependents,Number_of_Loan_to_Approve,Property_Type,State,Score,Total_Duration,Decision
2168,High Loan Amount,16.0,14.0,3.0,2.0,1.0,10.0,1.0,Low Salary,Average Sum of Loan,Average Income for Join Application,2168,7,Self_Employed,yes,gold,2,1,bungalow,Kuala Lumpur,6,30.0,Reject
2169,Low Loan Amount,20.0,14.0,4.0,2.0,1.0,10.0,3.0,Low Salary,Low Sum of Loan,Average Income for Join Application,2169,7,Self_Employed,no,normal,2,3,bungalow,Kuala Lumpur,8,34.0,Reject
2170,Average Loan Amount,12.0,5.0,2.0,2.0,1.0,10.0,1.0,Average Salary,Average Sum of Loan,Average Income for Join Application,2170,7,Self_Employed,yes,normal,2,2,bungalow,Kuala Lumpur,8,17.0,Reject
2171,High Loan Amount,24.0,14.0,4.0,2.0,1.0,10.0,1.0,Average Salary,High Sum of Loan,Average Income for Join Application,2171,7,Self_Employed,no,normal,2,3,bungalow,Kuala Lumpur,8,38.0,Accept
2172,High Loan Amount,22.0,14.0,4.0,2.0,1.0,11.0,2.0,Average Salary,Low Sum of Loan,High Income for Join Application,2172,7,Self_Employed,yes,gold,2,3,bungalow,Kuala Lumpur,9,36.0,Accept
2173,High Loan Amount,21.0,14.0,4.0,2.0,1.0,10.0,1.0,Average Salary,Low Sum of Loan,Low Income for Join Application,2173,7,Self_Employed,no,normal,2,1,bungalow,Kuala Lumpur,7,35.0,Accept
2174,Average Loan Amount,20.0,14.0,4.0,2.0,1.0,10.0,3.0,High Salary,High Sum of Loan,Average Income for Join Application,2174,7,Self_Employed,yes,normal,2,2,bungalow,Kuala Lumpur,9,34.0,Accept
2175,Average Loan Amount,17.0,14.0,4.0,2.0,1.0,10.0,1.0,Low Salary,High Sum of Loan,Low Income for Join Application,2175,7,Self_Employed,no,gold,2,3,bungalow,Kuala Lumpur,9,31.0,Reject
2176,High Loan Amount,21.0,14.0,4.0,2.0,1.0,10.0,2.0,Average Salary,Average Sum of Loan,Average Income for Join Application,2176,7,Self_Employed,yes,normal,2,1,bungalow,Kuala Lumpur,7,35.0,Accept
2177,Low Loan Amount,20.0,14.0,4.0,2.0,1.0,10.0,2.0,Low Salary,High Sum of Loan,Average Income for Join Application,2177,7,Self_Employed,no,platinum,2,2,bungalow,Kuala Lumpur,9,34.0,Reject
2178,Low Loan Amount,16.0,15.0,3.0,2.0,1.0,12.0,2.0,Low Salary,High Sum of Loan,Average Income for Join Application,2178,7,Self_Employed,yes,normal,2,3,bungalow,Kuala Lumpur,7,31.0,Accept
2179,Average Loan Amount,20.0,14.0,4.0,2.0,1.0,11.0,1.0,Low Salary,Average Sum of Loan,Low Income for Join Application,2179,7,Self_Employed,no,platinum,2,1,bungalow,Kuala Lumpur,6,34.0,Accept
2180,High Loan Amount,13.0,15.0,4.0,2.0,1.0,10.0,1.0,Low Salary,Average Sum of Loan,High Income for Join Application,2180,7,Self_Employed,yes,normal,2,2,flat,Kuala Lumpur,9,28.0,Accept
2181,Low Loan Amount,14.0,14.0,4.0,2.0,1.0,12.0,3.0,Average Salary,High Sum of Loan,High Income for Join Application,2181,7,Self_Employed,no,normal,2,1,flat,Kuala Lumpur,6,28.0,Reject
2182,Average Loan Amount,23.0,14.0,4.0,2.0,1.0,10.0,2.0,Low Salary,Average Sum of Loan,Average Income for Join Application,2182,7,Self_Employed,yes,normal,2,3,flat,Kuala Lumpur,8,37.0,Accept
2183,Low Loan Amount,20.0,14.0,4.0,2.0,1.0,10.0,2.0,High Salary,Low Sum of Loan,Average Income for Join Application,2183,7,Self_Employed,no,normal,2,1,flat,Kuala Lumpur,7,34.0,Reject
2184,Average Loan Amount,17.0,14.0,4.0,2.0,2.0,10.0,1.0,High Salary,Average Sum of Loan,Low Income for Join Application,2184,7,Self_Employed,yes,normal,2,2,flat,Kuala Lumpur,8,31.0,Accept
2185,Low Loan Amount,19.0,14.0,4.0,2.0,1.0,10.0,2.0,Average Salary,Average Sum of Loan,Average Income for Join Application,2185,7,Self_Employed,no,normal,2,1,flat,Kuala Lumpur,7,33.0,Accept
2186,High Loan Amount,14.0,15.0,4.0,2.0,1.0,10.0,3.0,High Salary,Low Sum of Loan,High Income for Join Application,2186,7,Self_Employed,yes,normal,2,2,flat,Kuala Lumpur,8,29.0,Reject
2187,Low Loan Amount,24.0,15.0,4.0,2.0,2.0,10.0,1.0,Average Salary,Average Sum of Loan,Low Income for Join Application,2187,7,Self_Employed,no,normal,2,2,flat,Kuala Lumpur,8,39.0,Accept
2188,Low Loan Amount,13.0,14.0,4.0,2.0,1.0,10.0,2.0,Average Salary,High Sum of Loan,Average Income for Join Application,2188,7,Self_Employed,yes,normal,2,1,flat,Kuala Lumpur,6,27.0,Reject
2189,Average Loan Amount,22.0,14.0,4.0,2.0,1.0,10.0,3.0,Average Salary,Average Sum of Loan,Average Income for Join Application,2189,7,Self_Employed,no,normal,2,2,flat,Kuala Lumpur,9,36.0,Accept
2190,Average Loan Amount,12.0,14.0,4.0,2.0,1.0,10.0,1.0,High Salary,Low Sum of Loan,Average Income for Join Application,2190,7,Self_Employed,yes,normal,2,1,flat,Kuala Lumpur,7,26.0,Reject
2191,Average Loan Amount,14.0,16.0,3.0,2.0,1.0,10.0,1.0,Low Salary,Average Sum of Loan,Average Income for Join Application,2191,7,Self_Employed,no,normal,2,1,flat,Kuala Lumpur,6,30.0,Reject
2192,High Loan Amount,23.0,14.0,4.0,2.0,1.0,10.0,1.0,Average Salary,Average Sum of Loan,Low Income for Join Application,2192,7,Self_Employed,yes,normal,2,2,flat,Kuala Lumpur,8,37.0,Accept
2193,Average Loan Amount,21.0,14.0,4.0,2.0,1.0,10.0,1.0,Low Salary,Average Sum of Loan,Average Income for Join Application,2193,7,Self_Employed,no,gold,2,1,flat,Kuala Lumpur,9,35.0,Accept
2194,High Loan Amount,19.0,14.0,3.0,2.0,2.0,10.0,3.0,Low Salary,Average Sum of Loan,Low Income for Join Application,2194,7,Self_Employed,yes,normal,2,3,flat,Kuala Lumpur,9,33.0,Accept
2195,Average Loan Amount,10.0,14.0,3.0,2.0,2.0,10.0,1.0,Average Salary,Average Sum of Loan,Average Income for Join Application,2195,7,Self_Employed,no,normal,2,3,flat,Kuala Lumpur,9,24.0,Reject
2196,Average Loan Amount,23.0,14.0,4.0,2.0,1.0,10.0,1.0,High Salary,Average Sum of Loan,High Income for Join Application,2196,7,Self_Employed,yes,gold,2,3,flat,Kuala Lumpur,6,37.0,Accept
2197,High Loan Amount,13.0,14.0,4.0,2.0,1.0,10.0,1.0,Average Salary,Low Sum of Loan,Low Income for Join Application,2197,7,Self_Employed,no,normal,2,1,flat,Kuala Lumpur,7,27.0,Accept
2198,Low Loan Amount,14.0,14.0,4.0,2.0,1.0,10.0,1.0,Average Salary,Average Sum of Loan,Low Income for Join Application,2198,7,Self_Employed,yes,normal,2,2,flat,Kuala Lumpur,8,28.0,Reject
2199,High Loan Amount,24.0,15.0,4.0,2.0,1.0,10.0,2.0,High Salary,Average Sum of Loan,Average Income for Join Application,2199,7,Self_Employed,no,normal,2,2,flat,Kuala Lumpur,9,39.0,Reject
2200,Average Loan Amount,15.0,16.0,2.0,2.0,5.0,10.0,3.0,Low Salary,Low Sum of Loan,Average Income for Join Application,2200,1,Fresh_Graduate,yes,normal,3,1,flat,Kuala Lumpur,7,31.0,Accept
2201,Average Loan Amount,16.0,11.0,2.0,2.0,2.0,10.0,1.0,High Salary,Average Sum of Loan,High Income for Join Application,2201,1,Fresh_Graduate,no,normal,3,3,flat,Kuala Lumpur,6,27.0,Accept
2202,Average Loan Amount,15.0,15.0,2.0,2.0,5.0,10.0,2.0,Low Salary,Low Sum of Loan,Average Income for Join Application,2202,1,Fresh_Graduate,yes,normal,3,1,flat,Kuala Lumpur,9,30.0,Reject
2203,High Loan Amount,14.0,15.0,2.0,2.0,5.0,10.0,1.0,Average Salary,Low Sum of Loan,Average Income for Join Application,2203,1,Fresh_Graduate,no,normal,3,1,flat,Kuala Lumpur,9,29.0,Accept
2204,High Loan Amount,15.0,15.0,3.0,2.0,5.0,10.0,1.0,Low Salary,Low Sum of Loan,Low Income for Join Application,2204,1,Fresh_Graduate,yes,normal,3,1,flat,Kuala Lumpur,8,30.0,Reject
2205,Average Loan Amount,17.0,15.0,2.0,2.0,2.0,10.0,1.0,High Salary,Low Sum of Loan,Low Income for Join Application,2205,1,Fresh_Graduate,no,normal,3,3,flat,Kuala Lumpur,8,32.0,Reject
2206,Low Loan Amount,10.0,13.0,2.0,2.0,5.0,10.0,1.0,High Salary,Average Sum of Loan,Average Income for Join Application,2206,1,Fresh_Graduate,yes,platinum,3,1,flat,Kuala Lumpur,8,23.0,Accept
2207,High Loan Amount,15.0,15.0,2.0,2.0,1.0,10.0,3.0,Average Salary,High Sum of Loan,Average Income for Join Application,2207,1,Fresh_Graduate,no,normal,3,2,flat,Kuala Lumpur,8,30.0,Accept
2208,High Loan Amount,20.0,15.0,2.0,2.0,3.0,10.0,3.0,Average Salary,High Sum of Loan,High Income for Join Application,2208,1,Fresh_Graduate,yes,gold,3,1,flat,Kuala Lumpur,7,35.0,Accept
2209,Low Loan Amount,15.0,15.0,2.0,2.0,2.0,10.0,1.0,High Salary,High Sum of Loan,Average Income for Join Application,2209,1,Fresh_Graduate,no,gold,3,3,flat,Kuala Lumpur,9,30.0,Reject
2210,Average Loan Amount,18.0,15.0,2.0,2.0,2.0,10.0,1.0,High Salary,Average Sum of Loan,Low Income for Join Application,2210,1,Fresh_Graduate,yes,normal,3,1,flat,Kuala Lumpur,9,33.0,Accept
2211,High Loan Amount,13.0,15.0,2.0,2.0,5.0,10.0,2.0,Low Salary,High Sum of Loan,Low Income for Join Application,2211,1,Fresh_Graduate,no,gold,3,2,flat,Kuala Lumpur,6,28.0,Accept
2212,Low Loan Amount,21.0,15.0,2.0,2.0,5.0,10.0,3.0,Average Salary,Low Sum of Loan,High Income for Join Application,2212,1,Fresh_Graduate,yes,normal,3,3,flat,Kuala Lumpur,6,36.0,Reject
2213,Average Loan Amount,11.0,15.0,2.0,2.0,5.0,10.0,3.0,Average Salary,Low Sum of Loan,Average Income for Join Application,2213,1,Fresh_Graduate,no,gold,3,3,flat,Kuala Lumpur,8,26.0,Accept
2214,Low Loan Amount,20.0,15.0,2.0,2.0,5.0,10.0,2.0,Average Salary,High Sum of Loan,Low Income for Join Application,2214,1,Fresh_Graduate,yes,normal,3,3,flat,Kuala Lumpur,8,35.0,Accept
2215,Average Loan Amount,19.0,13.0,4.0,2.0,2.0,10.0,1.0,Low Salary,Low Sum of Loan,Average Income for Join Application,2215,1,Fresh_Graduate,no,normal,3,2,flat,Kuala Lumpur,7,32.0,Accept
2216,Average Loan Amount,10.0,13.0,3.0,2.0,5.0,10.0,2.0,High Salary,Low Sum of Loan,Average Income for Join Application,2216,1,Fresh_Graduate,yes,normal,3,2,flat,Kuala Lumpur,8,23.0,Accept
2217,Average Loan Amount,10.0,16.0,2.0,2.0,1.0,10.0,3.0,Average Salary,High Sum of Loan,Average Income for Join Application,2217,1,Fresh_Graduate,no,gold,3,2,flat,Kuala Lumpur,7,26.0,Accept
2218,Low Loan Amount,22.0,15.0,4.0,2.0,5.0,10.0,3.0,High Salary,Average Sum of Loan,Low Income for Join Application,2218,1,Fresh_Graduate,yes,normal,3,2,flat,Kuala Lumpur,8,37.0,Reject
2219,High Loan Amount,18.0,15.0,2.0,2.0,5.0,10.0,1.0,High Salary,Average Sum of Loan,Average Income for Join Application,2219,1,Fresh_Graduate,no,normal,3,3,flat,Kuala Lumpur,6,33.0,Accept
2220,Low Loan Amount,13.0,15.0,2.0,2.0,2.0,10.0,2.0,Average Salary,High Sum of Loan,Average Income for Join Application,2220,1,Fresh_Graduate,yes,normal,3,2,terrace,Kuala Lumpur,9,28.0,Reject
2221,Low Loan Amount,22.0,15.0,2.0,2.0,5.0,10.0,1.0,Low Salary,High Sum of Loan,Low Income for Join Application,2221,1,Fresh_Graduate,no,platinum,3,2,terrace,Kuala Lumpur,7,37.0,Accept
2222,Average Loan Amount,14.0,15.0,2.0,2.0,5.0,10.0,1.0,Average Salary,High Sum of Loan,Low Income for Join Application,2222,1,Fresh_Graduate,yes,normal,3,2,terrace,Kuala Lumpur,9,29.0,Accept
2223,High Loan Amount,19.0,15.0,2.0,2.0,5.0,10.0,1.0,Low Salary,Average Sum of Loan,Average Income for Join Application,2223,1,Fresh_Graduate,no,gold,3,2,terrace,Kuala Lumpur,7,34.0,Reject
2224,Low Loan Amount,10.0,5.0,2.0,2.0,1.0,10.0,1.0,Average Salary,Average Sum of Loan,Average Income for Join Application,2224,1,Fresh_Graduate,yes,platinum,3,1,terrace,Kuala Lumpur,7,15.0,Reject
2225,High Loan Amount,20.0,15.0,2.0,2.0,5.0,10.0,1.0,Low Salary,High Sum of Loan,Low Income for Join Application,2225,1,Fresh_Graduate,no,normal,3,2,terrace,Kuala Lumpur,8,35.0,Accept
2226,Average Loan Amount,13.0,15.0,3.0,2.0,5.0,10.0,1.0,High Salary,Low Sum of Loan,High Income for Join Application,2226,1,Fresh_Graduate,yes,gold,3,1,terrace,Kuala Lumpur,8,28.0,Accept
2227,High Loan Amount,15.0,15.0,2.0,2.0,3.0,10.0,1.0,High Salary,High Sum of Loan,Low Income for Join Application,2227,1,Fresh_Graduate,no,normal,3,3,terrace,Kuala Lumpur,7,30.0,Reject
2228,Average Loan Amount,19.0,15.0,2.0,2.0,5.0,10.0,3.0,Average Salary,Low Sum of Loan,Average Income for Join Application,2228,1,Fresh_Graduate,yes,normal,3,1,terrace,Kuala Lumpur,8,34.0,Accept
2229,Low Loan Amount,14.0,15.0,2.0,2.0,2.0,10.0,1.0,Average Salary,Low Sum of Loan,Average Income for Join Application,2229,1,Fresh_Graduate,no,normal,3,1,terrace,Kuala Lumpur,7,29.0,Accept
2230,High Loan Amount,10.0,15.0,2.0,2.0,4.0,10.0,3.0,Average Salary,Average Sum of Loan,Low Income for Join Application,2230,1,Fresh_Graduate,yes,platinum,3,3,terrace,Kuala Lumpur,6,25.0,Accept
2231,Low Loan Amount,19.0,15.0,2.0,2.0,5.0,10.0,1.0,High Salary,Average Sum of Loan,High Income for Join Application,2231,1,Fresh_Graduate,no,gold,3,1,terrace,Kuala Lumpur,6,34.0,Accept
2232,High Loan Amount,24.0,15.0,2.0,2.0,2.0,10.0,3.0,Low Salary,Average Sum of Loan,Low Income for Join Application,2232,1,Fresh_Graduate,yes,gold,3,1,terrace,Kuala Lumpur,7,39.0,Accept
2233,High Loan Amount,24.0,12.0,2.0,2.0,1.0,10.0,2.0,Average Salary,Low Sum of Loan,Average Income for Join Application,2233,1,Fresh_Graduate,no,normal,3,2,terrace,Kuala Lumpur,6,36.0,Accept
2234,Low Loan Amount,12.0,15.0,3.0,2.0,5.0,10.0,2.0,High Salary,Low Sum of Loan,High Income for Join Application,2234,1,Fresh_Graduate,yes,normal,3,3,terrace,Kuala Lumpur,6,27.0,Reject
2235,Low Loan Amount,15.0,8.0,2.0,2.0,5.0,11.0,3.0,Average Salary,Average Sum of Loan,Average Income for Join Application,2235,1,Fresh_Graduate,no,gold,3,1,terrace,Kuala Lumpur,6,23.0,Accept
2236,High Loan Amount,16.0,12.0,2.0,2.0,5.0,10.0,2.0,Average Salary,Low Sum of Loan,Average Income for Join Application,2236,1,Fresh_Graduate,yes,normal,3,1,terrace,Kuala Lumpur,8,28.0,Accept
2237,Low Loan Amount,24.0,15.0,2.0,2.0,5.0,11.0,2.0,High Salary,Average Sum of Loan,High Income for Join Application,2237,1,Fresh_Graduate,no,gold,3,1,terrace,Kuala Lumpur,8,39.0,Accept
2238,Average Loan Amount,19.0,15.0,2.0,2.0,5.0,10.0,1.0,Low Salary,Low Sum of Loan,Low Income for Join Application,2238,1,Fresh_Graduate,yes,normal,3,1,terrace,Kuala Lumpur,6,34.0,Accept
2239,High Loan Amount,11.0,15.0,2.0,2.0,2.0,10.0,3.0,Average Salary,Low Sum of Loan,Average Income for Join Application,2239,1,Fresh_Graduate,no,gold,3,2,terrace,Kuala Lumpur,9,26.0,Reject
2240,Average Loan Amount,18.0,15.0,2.0,2.0,5.0,10.0,1.0,High Salary,High Sum of Loan,Average Income for Join Application,2240,1,Fresh_Graduate,yes,platinum,3,3,terrace,Kuala Lumpur,8,33.0,Accept
2241,High Loan Amount,12.0,15.0,2.0,2.0,2.0,10.0,1.0,Average Salary,High Sum of Loan,Low Income for Join Application,2241,1,Fresh_Graduate,no,gold,3,3,terrace,Kuala Lumpur,8,27.0,Accept
2242,High Loan Amount,14.0,15.0,3.0,2.0,5.0,10.0,2.0,High Salary,Average Sum of Loan,Low Income for Join Application,2242,1,Fresh_Graduate,yes,normal,3,1,terrace,Kuala Lumpur,8,29.0,Accept
2243,Average Loan Amount,20.0,15.0,2.0,2.0,5.0,10.0,2.0,High Salary,Low Sum of Loan,Average Income for Join Application,2243,1,Fresh_Graduate,no,normal,3,1,terrace,Kuala Lumpur,6,35.0,Accept
2244,High Loan Amount,19.0,9.0,3.0,2.0,5.0,10.0,3.0,Average Salary,Low Sum of Loan,Average Income for Join Application,2244,1,Fresh_Graduate,yes,platinum,3,2,terrace,Kuala Lumpur,9,28.0,Accept
2245,High Loan Amount,19.0,15.0,2.0,2.0,5.0,10.0,3.0,Average Salary,High Sum of Loan,Average Income for Join Application,2245,1,Fresh_Graduate,no,gold,3,1,terrace,Kuala Lumpur,6,34.0,Accept
2246,Low Loan Amount,22.0,10.0,2.0,2.0,2.0,10.0,3.0,High Salary,Low Sum of Loan,Average Income for Join Application,2246,1,Fresh_Graduate,yes,normal,3,3,terrace,Kuala Lumpur,6,32.0,Reject
2247,High Loan Amount,22.0,15.0,2.0,2.0,5.0,11.0,1.0,Average Salary,Low Sum of Loan,High Income for Join Application,2247,1,Fresh_Graduate,no,normal,3,1,terrace,Kuala Lumpur,8,37.0,Accept
2248,Average Loan Amount,19.0,15.0,2.0,2.0,5.0,10.0,2.0,High Salary,Low Sum of Loan,Average Income for Join Application,2248,1,Fresh_Graduate,yes,normal,3,2,terrace,Kuala Lumpur,7,34.0,Accept
2249,High Loan Amount,16.0,15.0,2.0,2.0,5.0,10.0,2.0,Average Salary,Average Sum of Loan,Average Income for Join Application,2249,1,Fresh_Graduate,no,gold,3,2,terrace,Kuala Lumpur,9,31.0,Accept
2250,Average Loan Amount,22.0,15.0,2.0,2.0,5.0,10.0,1.0,Low Salary,High Sum of Loan,High Income for Join Application,2250,1,Fresh_Graduate,yes,gold,3,2,terrace,Kuala Lumpur,6,37.0,Accept
2251,High Loan Amount,24.0,15.0,2.0,2.0,5.0,10.0,2.0,Average Salary,High Sum of Loan,High Income for Join Application,2251,1,Fresh_Graduate,no,normal,3,3,terrace,Kuala Lumpur,7,39.0,Reject
2252,Low Loan Amount,10.0,15.0,2.0,2.0,5.0,10.0,1.0,Low Salary,Low Sum of Loan,Average Income for Join Application,2252,1,Fresh_Graduate,yes,gold,3,3,terrace,Kuala Lumpur,8,25.0,Accept
2253,Average Loan Amount,20.0,15.0,2.0,2.0,1.0,10.0,3.0,Low Salary,High Sum of Loan,Low Income for Join Application,2253,1,Fresh_Graduate,no,normal,3,2,terrace,Kuala Lumpur,8,35.0,Reject
2254,Average Loan Amount,20.0,15.0,2.0,2.0,5.0,10.0,2.0,Average Salary,High Sum of Loan,Average Income for Join Application,2254,1,Fresh_Graduate,yes,gold,3,3,terrace,Kuala Lumpur,8,35.0,Accept
2255,Average Loan Amount,22.0,15.0,2.0,2.0,5.0,10.0,1.0,Average Salary,Low Sum of Loan,Low Income for Join Application,2255,1,Fresh_Graduate,no,normal,3,1,terrace,Kuala Lumpur,7,37.0,Accept
2256,Low Loan Amount,21.0,13.0,2.0,2.0,2.0,10.0,3.0,Average Salary,High Sum of Loan,Low Income for Join Application,2256,1,Fresh_Graduate,yes,normal,3,1,terrace,Kuala Lumpur,8,34.0,Accept
2257,Average Loan Amount,18.0,15.0,2.0,2.0,5.0,10.0,1.0,Average Salary,Average Sum of Loan,Low Income for Join Application,2257,1,Fresh_Graduate,no,gold,3,3,terrace,Kuala Lumpur,7,33.0,Reject
2258,High Loan Amount,21.0,15.0,2.0,2.0,5.0,10.0,1.0,Low Salary,Low Sum of Loan,High Income for Join Application,2258,1,Fresh_Graduate,yes,normal,3,1,terrace,Kuala Lumpur,6,36.0,Accept
2259,High Loan Amount,19.0,11.0,2.0,2.0,5.0,10.0,3.0,High Salary,Average Sum of Loan,Low Income for Join Application,2259,1,Fresh_Graduate,no,normal,3,2,terrace,Kuala Lumpur,8,30.0,Accept
2260,Average Loan Amount,14.0,15.0,3.0,2.0,5.0,10.0,1.0,Average Salary,Low Sum of Loan,Average Income for Join Application,2260,1,Fresh_Graduate,yes,normal,3,3,terrace,Kuala Lumpur,9,29.0,Reject
2261,High Loan Amount,19.0,9.0,3.0,2.0,5.0,10.0,2.0,Average Salary,High Sum of Loan,Average Income for Join Application,2261,1,Fresh_Graduate,no,normal,3,1,terrace,Kuala Lumpur,6,28.0,Accept
2262,Low Loan Amount,12.0,15.0,2.0,2.0,5.0,10.0,1.0,Low Salary,High Sum of Loan,Average Income for Join Application,2262,1,Fresh_Graduate,yes,normal,3,1,terrace,Kuala Lumpur,7,27.0,Accept
2263,Average Loan Amount,20.0,15.0,2.0,2.0,5.0,10.0,1.0,Average Salary,High Sum of Loan,High Income for Join Application,2263,1,Fresh_Graduate,no,gold,3,1,terrace,Kuala Lumpur,6,35.0,Accept
2264,Average Loan Amount,14.0,15.0,2.0,2.0,5.0,10.0,2.0,High Salary,High Sum of Loan,Low Income for Join Application,2264,1,Fresh_Graduate,yes,normal,3,1,terrace,Kuala Lumpur,7,29.0,Accept
2265,Average Loan Amount,23.0,15.0,2.0,2.0,2.0,10.0,1.0,High Salary,Low Sum of Loan,Average Income for Join Application,2265,1,Fresh_Graduate,no,normal,3,1,terrace,Kuala Lumpur,9,38.0,Accept
2266,Average Loan Amount,17.0,15.0,2.0,2.0,1.0,10.0,3.0,Average Salary,Low Sum of Loan,Average Income for Join Application,2266,1,Fresh_Graduate,yes,normal,3,3,terrace,Kuala Lumpur,9,32.0,Accept
2267,Low Loan Amount,21.0,6.0,4.0,2.0,1.0,10.0,3.0,High Salary,Average Sum of Loan,Low Income for Join Application,2267,1,Fresh_Graduate,no,platinum,3,3,terrace,Kuala Lumpur,7,27.0,Accept
2268,High Loan Amount,16.0,15.0,2.0,2.0,5.0,10.0,2.0,High Salary,Average Sum of Loan,Average Income for Join Application,2268,1,Fresh_Graduate,yes,normal,3,1,terrace,Kuala Lumpur,9,31.0,Reject
2269,High Loan Amount,12.0,15.0,2.0,2.0,5.0,10.0,3.0,High Salary,Low Sum of Loan,High Income for Join Application,2269,1,Fresh_Graduate,no,platinum,3,2,terrace,Kuala Lumpur,8,27.0,Accept
2270,High Loan Amount,23.0,15.0,2.0,2.0,3.0,10.0,2.0,Low Salary,Low Sum of Loan,Average Income for Join Application,2270,1,Fresh_Graduate,yes,normal,3,3,terrace,Kuala Lumpur,7,38.0,Accept
2271,Average Loan Amount,14.0,15.0,2.0,2.0,2.0,10.0,1.0,Low Salary,High Sum of Loan,Average Income for Join Application,2271,1,Fresh_Graduate,no,gold,3,1,terrace,Kuala Lumpur,7,29.0,Accept
2272,Average Loan Amount,15.0,15.0,2.0,2.0,5.0,10.0,3.0,Average Salary,Average Sum of Loan,Average Income for Join Application,2272,1,Fresh_Graduate,yes,normal,3,1,terrace,Kuala Lumpur,6,30.0,Accept
2273,High Loan Amount,19.0,15.0,2.0,2.0,5.0,10.0,2.0,High Salary,Low Sum of Loan,Average Income for Join Application,2273,1,Fresh_Graduate,no,gold,3,1,terrace,Kuala Lumpur,9,34.0,Reject
2274,High Loan Amount,19.0,15.0,4.0,2.0,5.0,10.0,2.0,High Salary,Average Sum of Loan,Average Income for Join Application,2274,1,Fresh_Graduate,yes,gold,3,1,terrace,Kuala Lumpur,8,34.0,Accept
2275,High Loan Amount,21.0,15.0,4.0,2.0,2.0,11.0,1.0,Low Salary,Low Sum of Loan,Low Income for Join Application,2275,1,Fresh_Graduate,no,normal,3,2,terrace,Kuala Lumpur,8,36.0,Accept
2276,High Loan Amount,19.0,15.0,2.0,2.0,5.0,10.0,2.0,Average Salary,High Sum of Loan,High Income for Join Application,2276,1,Fresh_Graduate,yes,platinum,3,3,terrace,Kuala Lumpur,8,34.0,Accept
2277,Low Loan Amount,11.0,15.0,2.0,2.0,5.0,10.0,1.0,Average Salary,Average Sum of Loan,High Income for Join Application,2277,1,Fresh_Graduate,no,normal,3,1,terrace,Kuala Lumpur,9,26.0,Accept
2278,Average Loan Amount,13.0,15.0,3.0,2.0,5.0,10.0,1.0,Average Salary,High Sum of Loan,High Income for Join Application,2278,1,Fresh_Graduate,yes,normal,3,3,terrace,Kuala Lumpur,8,28.0,Accept
2279,Low Loan Amount,19.0,9.0,3.0,2.0,5.0,10.0,3.0,Average Salary,Low Sum of Loan,High Income for Join Application,2279,1,Fresh_Graduate,no,gold,3,3,terrace,Kuala Lumpur,7,28.0,Accept
2280,Low Loan Amount,22.0,15.0,4.0,2.0,1.0,10.0,2.0,Average Salary,Average Sum of Loan,High Income for Join Application,2280,1,Fresh_Graduate,yes,normal,3,3,terrace,Kuala Lumpur,6,37.0,Accept
2281,High Loan Amount,19.0,15.0,3.0,2.0,5.0,10.0,1.0,High Salary,High Sum of Loan,Average Income for Join Application,2281,1,Fresh_Graduate,no,normal,3,1,terrace,Kuala Lumpur,8,34.0,Accept
2282,High Loan Amount,23.0,9.0,2.0,2.0,5.0,10.0,1.0,Average Salary,Low Sum of Loan,Low Income for Join Application,2282,1,Fresh_Graduate,yes,normal,3,1,terrace,Kuala Lumpur,6,32.0,Reject
2283,High Loan Amount,20.0,15.0,3.0,2.0,5.0,10.0,1.0,High Salary,Average Sum of Loan,Average Income for Join Application,2283,1,Fresh_Graduate,no,normal,3,3,terrace,Kuala Lumpur,7,35.0,Reject
2284,Low Loan Amount,15.0,15.0,2.0,2.0,5.0,11.0,1.0,Average Salary,Average Sum of Loan,Low Income for Join Application,2284,1,Fresh_Graduate,yes,normal,3,3,terrace,Kuala Lumpur,6,30.0,Accept
2285,Low Loan Amount,20.0,15.0,2.0,2.0,5.0,11.0,1.0,Average Salary,Average Sum of Loan,High Income for Join Application,2285,1,Fresh_Graduate,no,normal,3,3,terrace,Kuala Lumpur,6,35.0,Accept
2286,Average Loan Amount,15.0,15.0,3.0,2.0,2.0,11.0,1.0,Low Salary,Low Sum of Loan,Average Income for Join Application,2286,1,Fresh_Graduate,yes,normal,3,3,terrace,Kuala Lumpur,9,30.0,Reject
2287,Average Loan Amount,19.0,15.0,2.0,2.0,5.0,10.0,2.0,Average Salary,Low Sum of Loan,High Income for Join Application,2287,1,Fresh_Graduate,no,normal,3,1,terrace,Kuala Lumpur,7,34.0,Accept
2288,Low Loan Amount,11.0,15.0,2.0,2.0,5.0,10.0,2.0,Average Salary,Average Sum of Loan,Average Income for Join Application,2288,1,Fresh_Graduate,yes,normal,3,3,terrace,Kuala Lumpur,8,26.0,Accept
2289,Average Loan Amount,12.0,14.0,2.0,2.0,5.0,10.0,2.0,Low Salary,Average Sum of Loan,Average Income for Join Application,2289,1,Fresh_Graduate,no,gold,3,1,terrace,Kuala Lumpur,7,26.0,Accept
